trace,thickness,thickness_user_lower,thickness_user_upper,thickness_user_std,thickness_user_nmad,thickness_user_count,temperate,temperate_user_lower,temperate_user_upper,temperate_user_std,temperate_user_nmad,temperate_user_count
2178,117.953094,117.953094,118.208969,0.578449,0.379343,10,114.115141,115.906186,109.253734,4.472329,5.690149,9.0
2184,118.208969,118.208969,118.72068,0.615017,0.569,10,114.371016,116.162061,109.509608,4.49059,6.069493,9.0
2191,118.72068,118.464821,119.232407,0.66338,0.758674,10,114.882727,116.673772,110.021319,4.49059,6.069493,9.0
2198,118.976555,118.72068,119.488274,0.629055,0.758674,10,115.138602,116.929646,110.277194,4.49059,6.069493,9.0
2205,119.232407,118.976555,119.744141,0.626736,0.569006,10,115.394453,117.185498,110.277182,4.510389,6.069493,9.0
2212,119.488274,119.232407,120.000008,0.654552,0.758674,10,115.65032,117.441365,110.533049,4.510389,6.069493,9.0
2218,119.744141,119.744141,120.255859,0.658434,0.758686,10,115.906187,117.697232,110.533052,4.531707,6.069493,9.0
2224,120.000008,120.000008,120.767593,0.694978,0.94836,10,116.162054,117.953099,110.788919,4.531707,6.069493,9.0
2230,120.255859,120.000008,121.02346,0.715605,0.758686,10,116.417906,118.208951,111.044771,4.531707,6.069493,9.0
2236,120.511742,120.255859,121.279327,0.715605,0.758708,10,116.673788,118.464833,111.04479,4.554523,6.069493,9.0
2243,121.02346,120.767593,121.535179,0.671557,0.758686,10,117.185507,118.976552,111.556509,4.554523,6.069493,9.0
2249,121.279327,121.02346,121.791046,0.671554,0.758686,10,117.441374,119.232419,111.812376,4.554523,6.069493,9.0
2256,121.535179,121.535179,122.046913,0.661187,0.569023,10,117.697226,119.488271,111.812365,4.578814,6.069493,9.0
2263,122.046913,121.791046,122.30278,0.651771,0.569023,10,118.20896,120.000005,112.324099,4.578814,6.069493,9.0
2270,122.30278,122.046913,122.558632,0.682835,0.569023,10,118.464827,120.255872,112.324101,4.604557,6.069493,9.0
2276,122.558632,122.30278,122.814507,0.753727,0.569017,10,118.720679,120.511724,112.579953,4.604557,6.069493,9.0
2284,122.814507,122.558632,123.326241,0.763316,0.948365,10,118.976553,120.767598,112.835828,4.573449,6.069493,9.0
2289,123.070366,122.558632,123.326241,0.81315,0.94836,10,119.232413,121.023458,112.835824,4.601001,6.069493,9.0
2296,123.070366,122.814507,123.326241,0.894914,0.94836,10,119.232413,121.023458,112.835824,4.601001,6.069493,9.0
2302,123.070366,122.814507,123.326241,0.92999,0.94836,10,119.232413,121.023458,112.835824,4.601001,6.069493,9.0
2309,123.326241,123.070366,123.5821,0.822045,0.569011,10,119.488287,121.279332,113.091699,4.601001,6.069493,9.0
2315,123.326241,123.070366,123.5821,0.760928,0.569011,10,119.488287,121.279332,113.091699,4.601001,6.069493,9.0
2322,123.070366,122.558632,123.5821,0.820275,0.758674,10,119.232413,121.023458,112.835824,4.601001,6.069493,9.0
2329,123.070366,122.558632,123.5821,0.757579,0.569017,10,119.232413,121.023458,112.835824,4.601001,6.069493,9.0
2335,123.070366,122.558632,123.5821,0.772786,0.758697,10,119.232413,121.023458,112.835824,4.619343,6.448836,9.0
2342,122.814507,122.814507,123.5821,0.774668,0.948365,10,118.976553,120.767598,112.835828,4.592099,6.448836,9.0
2349,122.814507,122.814507,123.326241,0.789086,0.569028,10,118.976553,120.767598,112.835828,4.621508,6.448836,9.0
2355,122.814507,122.814507,123.326241,0.767117,0.569028,10,118.976553,120.767598,112.835828,4.621508,6.448836,9.0
2361,123.070366,122.558632,123.070366,0.762838,0.37936,10,119.232413,121.023458,113.091687,4.621508,6.448836,9.0
2368,123.070366,122.30278,123.070366,0.731689,0.18968,10,119.232413,121.023458,113.091687,4.621508,6.448836,9.0
2374,122.814507,122.30278,123.070366,0.695501,0.189669,10,119.232417,120.767598,112.835828,4.638201,6.448836,9.0
2381,122.814507,122.30278,123.070366,0.715607,0.569028,10,119.232417,120.767598,112.835828,4.688311,6.448836,9.0
2389,122.814507,122.30278,123.070366,0.721678,0.569011,10,119.232417,120.767598,112.835828,4.688311,6.448836,9.0
2396,122.814507,122.046913,123.070366,0.810908,0.758697,10,119.232417,120.767598,113.091692,4.662836,6.448836,9.0
2402,122.814507,122.046913,123.070366,0.755172,0.569017,10,119.232417,120.767598,113.091692,4.662836,6.448836,9.0
2409,122.558632,121.791046,122.814507,0.792768,0.569028,10,118.976542,120.511724,112.835817,4.662836,6.448836,9.0
2416,122.30278,121.535179,122.558632,0.751309,0.758691,10,118.72069,120.255872,112.579966,4.662836,6.448836,9.0
2422,122.046913,121.535179,122.558632,0.721678,0.75868,10,118.464823,120.000005,112.324099,4.662836,6.448836,9.0
2429,121.791046,121.279327,122.30278,0.7257,0.94836,10,118.208956,119.744138,112.068232,4.662836,6.448836,9.0
2436,121.535179,121.279327,122.046913,0.682834,0.758686,10,117.953089,119.488271,111.812365,4.633494,6.448836,9.0
2443,121.279327,120.767593,122.046913,0.747908,0.94836,10,117.697238,119.232419,111.556513,4.633494,6.448836,9.0
2450,121.279327,120.767593,121.791046,0.774664,0.94836,10,117.697238,119.232419,111.812376,4.609096,6.448836,9.0
2456,121.279327,120.511742,121.791046,0.78585,1.138023,10,117.697238,119.232419,111.812376,4.609096,6.448836,9.0
2463,121.02346,120.511742,121.791046,0.876434,0.948348,10,117.441371,118.976552,111.556509,4.609096,6.448836,9.0
2470,120.767593,120.255859,121.535179,0.898159,1.138023,10,117.185504,118.720685,111.044779,4.633494,6.448836,9.0
2477,120.767593,120.255859,121.535179,0.837819,0.94836,10,117.185504,118.720685,110.788915,4.659325,6.448836,9.0
2484,121.02346,120.255859,121.279327,0.792764,0.758674,10,117.441371,118.976552,110.788918,4.686565,6.448836,9.0
2492,121.02346,120.511742,121.279327,0.726198,0.758674,10,117.441371,118.976552,110.788918,4.715192,6.448836,9.0
2499,121.279327,120.767593,121.279327,0.654553,0.379337,10,117.697238,119.232419,111.044785,4.745179,6.448836,9.0
2507,121.535179,121.02346,121.535179,0.553387,0.189674,10,117.953089,119.488271,111.300637,4.809131,6.448836,9.0
2513,121.535179,121.02346,121.791046,0.542093,0.379348,10,117.953089,119.488271,111.300637,4.843043,6.448836,9.0
2521,121.535179,121.02346,122.046913,0.571493,0.569023,10,117.953089,119.488271,111.300637,4.878212,6.448836,9.0
2528,121.535179,121.02346,122.30278,0.665574,0.758697,10,117.953089,119.488271,111.300637,4.914608,6.448836,9.0
2535,121.791046,121.279327,122.558632,0.69288,0.94836,10,118.208956,119.744138,111.556504,4.982409,6.448836,9.0
2542,122.046913,121.791046,122.814507,0.724198,0.94836,10,118.464823,120.000005,111.812371,5.02113,6.448836,9.0
2550,122.30278,122.30278,123.070366,0.672099,0.758686,10,118.72069,120.255872,112.068238,4.944857,6.448836,9.0
2558,122.814507,122.558632,123.326241,0.707943,0.758708,10,119.232417,120.767598,112.579965,4.806861,6.448836,9.0
2562,122.814507,122.814507,123.837952,0.765217,0.758697,9,119.232417,120.767598,112.579965,4.745562,6.448836,9.0
2603,124.861412,124.861412,125.373138,0.983584,0.379348,9,121.279322,123.326231,115.650324,4.756266,4.741791,8.0
2614,125.884865,124.861412,125.884865,1.1071,1.517371,10,122.302775,123.837956,115.906186,4.768689,6.448836,9.0
2622,126.396599,125.629013,126.652451,1.208862,1.51736,10,122.814509,124.34969,116.41792,4.768689,6.448836,9.0
2629,126.652451,126.140732,127.420052,1.242102,1.327708,10,123.070361,124.605542,116.673772,4.768689,6.448836,9.0
2636,127.164185,126.652451,128.187637,1.218155,1.138034,10,123.582095,125.117276,117.185506,4.768689,6.448836,9.0
2643,127.675903,127.164185,128.187637,1.150912,1.138034,10,124.093814,125.628995,117.697225,4.768689,6.448836,9.0
2650,128.187637,127.675903,128.955231,1.058736,0.948365,10,124.605548,126.140729,118.208959,4.768689,6.448836,9.0
2657,128.443497,128.443497,129.722824,1.104144,0.948354,10,124.861407,126.396588,118.464818,4.768689,6.448836,9.0
2663,129.21109,128.955231,130.234558,1.155642,0.948365,10,125.629,127.164182,119.232411,4.768689,6.448836,9.0
2670,130.234558,129.722824,131.002136,1.31824,1.138034,10,126.652468,128.18765,120.255879,4.768689,6.448836,9.0
2676,131.258011,130.490402,131.76973,1.493145,1.327703,10,127.675921,129.211102,121.279332,4.768689,6.448836,9.0
2682,131.258011,131.002136,132.537323,1.648502,1.138034,10,127.675921,129.211102,121.279332,4.768689,6.448836,9.0
2689,132.025589,130.746277,132.281448,1.774515,1.327714,10,128.443499,129.978681,122.04691,4.800426,6.448836,9.0
2695,131.76973,131.258011,132.281448,1.891965,1.327691,10,128.18764,129.722821,121.791051,4.800426,6.448836,9.0
2702,131.513855,131.002136,132.025589,1.979892,1.517371,10,127.931765,129.466947,121.535176,4.800426,6.448836,9.0
2709,131.002136,130.490402,131.76973,2.109902,1.70704,10,127.420047,128.955228,121.023458,4.800426,6.448836,9.0
2715,130.746277,129.978683,131.513855,2.153582,1.896719,10,127.164187,128.699368,120.767598,4.840226,6.82818,9.0
2722,130.490402,129.466949,131.002136,2.040504,1.896708,10,126.908313,128.443494,120.511724,4.840226,6.82818,9.0
2729,129.978683,128.955231,130.746277,1.983562,2.086399,10,126.652457,127.931775,120.000005,4.857665,6.82818,9.0
2735,129.466949,128.443497,130.490402,1.956238,2.086388,10,126.140723,127.420041,119.744135,4.832706,6.82818,9.0
2742,128.955231,127.931786,130.234558,1.966438,2.086382,10,125.629004,126.908322,119.232416,4.832706,6.82818,9.0
2750,128.443497,127.675903,129.722824,1.930599,1.896714,10,125.11727,126.396588,118.720682,4.832706,6.82818,9.0
